id,project_id,created_at,updated_at,uuid,category,content,min_epoch,max_epoch,is_end,reorg_count,impact_validator_count,honest_lose_rate_avg,attacker_lose_rate_avg
8573,4cdb596e-50cb-4366-a570-3bf8c7fdced3,2025-04-19 20:34:20,2025-04-19 20:47:30,1286ad02-b4d0-4a26-9403-fc8b58c30850,ext_withholding,"{""uid"":""1286ad02-b4d0-4a26-9403-fc8b58c30850"",""category"":""ext_withholding"",""slots"":[{""slot"":""4602"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:66""}},{""slot"":""4603"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:111""}},{""slot"":""4604"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:60""}},{""slot"":""4605"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:57""}},{""slot"":""4606"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:102""}},{""slot"":""4607"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:99""}},{""slot"":""4582"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""return"",""BlockDelayForReceiveBlock"":""delayWithSecond:36""}},{""slot"":""4583"",""level"":1,""actions"":{""BlockBeforeSign"":""delayWithSecond:9"",""BlockGetNewParentRoot"":""modifyParentRoot:4562""}},{""slot"":""4584"",""level"":1,""actions"":{""BlockBeforeSign"":""delayWithSecond:33""}},{""slot"":""4586"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:27""}},{""slot"":""4587"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""return""}},{""slot"":""4588"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:18"",""BlockBeforeBroadCast"":""return""}},{""slot"":""4589"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:15""}},{""slot"":""4593"",""level"":1,""actions"":{""BlockBeforeSign"":""return"",""BlockGetNewParentRoot"":""modifyParentRoot:4592""}},{""slot"":""4595"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:33""}},{""slot"":""4598"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""delayWithSecond:21""}}],""validator"":null}",143,143,1,1,170,0.15027695707428443,0.1150085125175612
8570,4cdb596e-50cb-4366-a570-3bf8c7fdced3,2025-04-19 19:15:56,2025-04-19 19:30:39,8165a654-fed8-4c7c-8735-b1cb2665fa39,ext_withholding,"{""uid"":""8165a654-fed8-4c7c-8735-b1cb2665fa39"",""category"":""ext_withholding"",""slots"":[{""slot"":""3008"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:84""}},{""slot"":""3009"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:129""}},{""slot"":""3010"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:126""}},{""slot"":""3011"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:57""}},{""slot"":""3012"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:54""}},{""slot"":""3013"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:117""}},{""slot"":""3014"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:114""}},{""slot"":""3015"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:63""}},{""slot"":""3016"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:108""}},{""slot"":""3017"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:105""}},{""slot"":""3018"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:36""}},{""slot"":""3019"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:33""}},{""slot"":""3021"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestTarget:3004"",""BlockBeforeBroadCast"":""return""}},{""slot"":""3022"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestHead:3015"",""BlockBeforeBroadCast"":""return"",""BlockGetNewParentRoot"":""modifyParentRoot:3007""}},{""slot"":""3024"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""return""}},{""slot"":""3025"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""delayWithSecond:15""}},{""slot"":""3026"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""return"",""BlockBeforeBroadCast"":""return"",""BlockGetNewParentRoot"":""modifyParentRoot:3024""}},{""slot"":""3038"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:9"",""BlockDelayForReceiveBlock"":""delayWithSecond:33""}}],""validator"":null}",94,94,1,1,170,1.4351343907591927,0.4257843676895559
8564,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 16:23:54,2025-04-19 16:40:26,099efc1e-c56b-479a-990f-45157f1ff657,ext_unrealized,"{""uid"":""099efc1e-c56b-479a-990f-45157f1ff657"",""category"":""ext_unrealized"",""slots"":[{""slot"":""5600"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:5558""}},{""slot"":""5602"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:5584""}},{""slot"":""5603"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""delayWithSecond:18""}},{""slot"":""5607"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""return""}}],""validator"":null}",175,175,1,0,170,0.09319915168489311,0.023438145039218428
8563,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 16:15:54,2025-04-19 16:32:28,6d7d4832-c804-4d85-ae8b-c29d1631fff6,ext_unrealized,"{""uid"":""6d7d4832-c804-4d85-ae8b-c29d1631fff6"",""category"":""ext_unrealized"",""slots"":[{""slot"":""5440"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:5393""}},{""slot"":""5441"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:21""}},{""slot"":""5442"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestHead:5429""}},{""slot"":""5445"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""return""}}],""validator"":null}",170,170,1,0,170,0.06231659637847158,0.015625430026145585
8559,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 15:59:54,2025-04-19 16:16:28,37bf4967-fc5f-4a7c-abcb-c66fb59ced88,ext_unrealized,"{""uid"":""37bf4967-fc5f-4a7c-abcb-c66fb59ced88"",""category"":""ext_unrealized"",""slots"":[{""slot"":""5120"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:5080""}},{""slot"":""5124"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:21""}},{""slot"":""5128"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""return""}},{""slot"":""5131"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestSource:5106""}}],""validator"":null}",160,160,1,0,170,0.09319915168489311,0.023438145039218428
8556,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 15:45:30,2025-04-19 16:01:58,364e3f5f-680d-4393-aaf0-ceb4d996098a,ext_unrealized,"{""uid"":""364e3f5f-680d-4393-aaf0-ceb4d996098a"",""category"":""ext_unrealized"",""slots"":[{""slot"":""4832"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4783""}},{""slot"":""4837"",""level"":1,""actions"":{""BlockBeforeSign"":""return""}},{""slot"":""4838"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestSource:4837""}},{""slot"":""4839"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:30""}}],""validator"":null}",151,151,1,1,170,0.031250212483507456,0.007812715013072792
8555,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 15:40:42,2025-04-19 15:57:07,66c70c37-c364-434f-97d5-9d46531472a6,ext_unrealized,"{""uid"":""66c70c37-c364-434f-97d5-9d46531472a6"",""category"":""ext_unrealized"",""slots"":[{""slot"":""4736"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4689""}},{""slot"":""4737"",""level"":1,""actions"":{""BlockBeforeSign"":""return""}},{""slot"":""4738"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:27""}},{""slot"":""4739"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4731""}}],""validator"":null}",148,148,1,0,170,0.03125021248350746,0.007812715013072792
8553,cd5bd57a-3c17-4e95-aa37-300ad9ecf58b,2025-04-19 15:36:49,2025-04-19 15:48:04,b266f193-4018-4add-98f7-59c9c88cc0b3,ext_withholding,"{""uid"":""b266f193-4018-4add-98f7-59c9c88cc0b3"",""category"":""ext_withholding"",""slots"":[{""slot"":""4688"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:66""}},{""slot"":""4689"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:63""}},{""slot"":""4690"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:60""}},{""slot"":""4691"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:39""}},{""slot"":""4692"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:36""}},{""slot"":""4693"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:33""}},{""slot"":""4672"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""return"",""BlockBeforeBroadCast"":""return"",""BlockBeforeSign"":""delayWithSecond:12""}},{""slot"":""4674"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""delayWithSecond:12""}},{""slot"":""4675"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestSource:4669"",""BlockGetNewParentRoot"":""modifyParentRoot:4666""}},{""slot"":""4676"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:33""}},{""slot"":""4681"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:33"",""BlockDelayForReceiveBlock"":""return"",""BlockGetNewParentRoot"":""modifyParentRoot:4669""}},{""slot"":""4683"",""level"":1,""actions"":{""AttestBeforeSign"":""modifyAttestTarget:4665""}},{""slot"":""4685"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""return"",""BlockBeforeBroadCast"":""delayWithSecond:12"",""BlockDelayForReceiveBlock"":""delayWithSecond:12""}},{""slot"":""4686"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:27"",""BlockDelayForReceiveBlock"":""return""}},{""slot"":""4695"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""delayWithSecond:15"",""BlockDelayForReceiveBlock"":""delayWithSecond:12""}},{""slot"":""4699"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4693""}},{""slot"":""4700"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""return"",""BlockBeforeSign"":""return"",""BlockGetNewParentRoot"":""modifyParentRoot:4687""}},{""slot"":""4703"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""delayWithSecond:36""}}],""validator"":null}",146,146,1,0,170,0.01953350763726428,0.13467690835602822
8550,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 15:31:06,2025-04-19 15:47:38,218db20a-f324-4889-839c-c86beb9d6bb1,ext_unrealized,"{""uid"":""218db20a-f324-4889-839c-c86beb9d6bb1"",""category"":""ext_unrealized"",""slots"":[{""slot"":""4544"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4504""}},{""slot"":""4546"",""level"":1,""actions"":{""BlockDelayForReceiveBlock"":""return""}},{""slot"":""4547"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4542""}},{""slot"":""4548"",""level"":1,""actions"":{""BlockBeforeBroadCast"":""return""}}],""validator"":null}",142,142,1,1,170,0.04680807275435289,0.011720792624191562
8549,804e2f2a-816c-4a17-b151-8c0fbd2b1a83,2025-04-19 15:24:42,2025-04-19 15:40:57,564bf16b-d556-4f84-ad16-8195477c1247,ext_unrealized,"{""uid"":""564bf16b-d556-4f84-ad16-8195477c1247"",""category"":""ext_unrealized"",""slots"":[{""slot"":""4416"",""level"":1,""actions"":{""BlockGetNewParentRoot"":""modifyParentRoot:4375""}},{""slot"":""4422"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:21""}},{""slot"":""4424"",""level"":1,""actions"":{""BlockBeforeSign"":""return""}},{""slot"":""4428"",""level"":1,""actions"":{""AttestBeforeBroadCast"":""delayWithSecond:24""}}],""validator"":null}",138,138,1,0,170,0.03125021248350719,0.007812715013072792
